genename,F1,F2,F3,F4,F5,F6,F7,S1,S2,S3,S4,S5,S6,S7,Space
carmil2,1.349596372,0.085279234,0.467113542,0.542556414,0.101616424,0.90094905,0,1.783845261,0.97177419,1.638602524,1.764873392,1.557741218,1.724626895,1.486979327,0
oxr1,1.92245489,1.356866508,1.439316016,0.822544239,0.611412738,0.813709986,0.980418487,8.80633624,7.178521499,7.884420643,8.57852927,8.885449475,8.119049464,7.822919112,0
prkca,1.968163621,1.225774349,1.25700663,1.170800529,1.661484297,1.657416166,2.184132363,6.57826477,4.571638371,5.211751022,4.775074608,6.412249202,6.10274503,6.534289826,0
lrrc47,1.51596073,1.601205847,1.651181638,1.455514554,1.344807589,1.545114421,1.069091357,4.089853468,4.456027572,3.939236832,4.651151373,4.315771198,3.879447357,3.769436172,0
scn2b,0.476058399,0.43343483,0.834994513,2.119388195,0.648826959,1.346300105,2.136246404,0,0.810345895,0.526389382,0.393351587,0,0.262005236,0.362750868,0
spag9,0.636318719,1.568783254,1.314283472,1.193527434,0.758728852,0.459750526,1.706540413,3.578593626,2.697018667,3.221304818,4.022249108,1.698679693,3.308754002,4.242643926,0
ndufaf2,0.728471139,0.822834663,0.117170684,0.190209742,0.893424598,0.463220892,0.489703211,0,0.203060855,0.122906401,0.048850698,0.273047129,0,0.11091579,0
stxbp5l,1.690570265,2.189787647,1.348541836,2.268824115,3.286929246,1.969712545,1.745234306,0.8026801,1.1718089,0.970882347,0.455089428,1.110057457,0.857116966,0.832797461,0
kctd16,1.85084911,0.747888502,1.6169746,1.080453155,1.760900856,1.65647478,0,0.50433906,0.441936472,0.281537966,0.339893471,0.408207793,0.398934297,0.415352869,0
ermn,1.090285988,1.166703263,0.970290983,0.935784449,0.952478313,0.601311048,1.068169603,0.328140348,0.492897287,0.564836746,0.929196285,0.847219044,0.717173813,0.384292612,0
prkaa1,0.724249964,1.068849545,1.06190831,0.987451341,0.816466359,0.84573113,0.773409298,0.565132671,0.456888809,0.653483758,0.441977761,0.287428729,0.236828434,0.54219454,0
git1,1.129007192,2.334449105,1.87696142,1.176882757,0.873047633,0.8136297,1.244925868,4.181728843,4.268218516,7.087817131,6.462111031,4.461272721,4.135621524,4.57711011,0
taok1,0.839921578,0.580681827,0.941227825,0.704051561,0,0.477368281,0.649022792,0.504749444,0.460029145,0.835080576,0.553860838,0.307581713,0.36576127,0.591910825,0
arhgap1,2.08468727,2.776087058,3.002958956,2.269064928,1.865197708,1.432409585,1.334697414,5.889215527,9.706168723,10.50198904,11.67530818,9.474191916,10.87050392,10.99523075,0
